image_id,image_hw,requested_bpp,target_bpp,target_bits,target_bytes,payload_size_bytes,payload_size_bits,payload_bytes,payload_bits,actual_bpp,actual_raw_bpp,actual_embedded_bpp,psnr,ssim,mse,ber,extraction_success,recovery_success,payload_recovery_%,cover_recovery_%,usable_capacity_bits,theoretical_capacity_bits,capacity_utilization_%,embed_time_s,extract_time_s,max_capacity_bits,status
stego_s2 (11).png,261×261,0.001,0.001,68,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387928 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s2 (11).png,261×261,0.005,0.005,340,42,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387928 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s2 (11).png,261×261,0.01,0.01,681,85,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387928 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s2 (11).png,261×261,0.02,0.02,1362,170,78,624,78,624,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (388544 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s2 (11).png,261×261,0.05,0.05,3406,425,333,2664,333,2664,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (390584 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s2 (11).png,261×261,0.1,0.1,6812,851,759,6072,759,6072,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (393992 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s1 (11).png,261×261,0.001,0.001,68,8,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387864 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s1 (11).png,261×261,0.005,0.005,340,42,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387864 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s1 (11).png,261×261,0.01,0.01,681,85,1,8,1,8,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (387864 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
stego_s1 (11).png,261×261,0.02,0.02,1362,170,78,624,78,624,,,,,,,,False,False,,,0,0,0.0,,,0,FAILED: CNN-DA-EMD-OLSB: Payload + location map (388480 bits) exceeds usable image capacity (135924 bits = 67908 EMD pairs × 2 +
