Model A,Model B,|Avg Rank Diff|,Critical Diff (CD),Significant?
MPEH-RDH,MCSH-RDH,1.7,3.473,❌ No
MPEH-RDH,CNN-RDH Predictor,1.5,3.473,❌ No
MPEH-RDH,SRDNN-Stego,3.4,3.473,❌ No
MPEH-RDH,EMD-OLSB RDH,0.6,3.473,❌ No
MPEH-RDH,CNN-DA-EMD-OLSB,0.6,3.473,❌ No
MCSH-RDH,CNN-RDH Predictor,0.2,3.473,❌ No
MCSH-RDH,SRDNN-Stego,1.7,3.473,❌ No
MCSH-RDH,EMD-OLSB RDH,2.3,3.473,❌ No
MCSH-RDH,CNN-DA-EMD-OLSB,2.3,3.473,❌ No
CNN-RDH Predictor,SRDNN-Stego,1.9,3.473,❌ No
CNN-RDH Predictor,EMD-OLSB RDH,2.1,3.473,❌ No
CNN-RDH Predictor,CNN-DA-EMD-OLSB,2.1,3.473,❌ No
SRDNN-Stego,EMD-OLSB RDH,4.0,3.473,✅ Yes
SRDNN-Stego,CNN-DA-EMD-OLSB,4.0,3.473,✅ Yes
EMD-OLSB RDH,CNN-DA-EMD-OLSB,0.0,3.473,❌ No
