Model A,Model B,|Avg Rank Diff|,Critical Diff (CD),Significant?,Method
MPEH-RDH,MCSH-RDH,0.0,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MPEH-RDH,CNN-RDH Predictor,1.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MPEH-RDH,SRDNN-Stego,2.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MPEH-RDH,EMD-OLSB RDH,1.0,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MPEH-RDH,CNN-DA-EMD-OLSB,2.3333,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MCSH-RDH,CNN-RDH Predictor,1.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MCSH-RDH,SRDNN-Stego,2.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MCSH-RDH,EMD-OLSB RDH,1.0,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
MCSH-RDH,CNN-DA-EMD-OLSB,2.3333,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
CNN-RDH Predictor,SRDNN-Stego,1.0,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
CNN-RDH Predictor,EMD-OLSB RDH,2.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
CNN-RDH Predictor,CNN-DA-EMD-OLSB,4.0,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
SRDNN-Stego,EMD-OLSB RDH,3.6667,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
SRDNN-Stego,CNN-DA-EMD-OLSB,5.0,4.4836,Yes,Bonferroni-Dunn (Nemenyi approx.)
EMD-OLSB RDH,CNN-DA-EMD-OLSB,1.3333,4.4836,No,Bonferroni-Dunn (Nemenyi approx.)
